comentario,comentario_limpio,Sentimiento
"Son 30 fernet que seguro son los de 750ml son 22.5 kilos mas pepsi black capaz que la de 1.5l que son 45 kilos en total 67 kilos y medio, un hdp el tipo se cree que el pibe es un camion","son 30 fernet que seguro son los de 750ml son 22.5 kilos mas pepsi black capaz que la de 1.5l que son 45 kilos en total 67 kilos y medio, un hdp el tipo se cree que el pibe es un camion",Negativo
"Yo tengo un triciclo.. Les llego el fernet con la pepsi, eh!! pero cobro un poco más..","yo tengo un triciclo.. les llego el fernet con la pepsi, eh!! pero cobro un poco más..",Neutro
"Che y que paso,  lo invitaron por lo menos? Ahre chusma jajaja","che y que paso,  lo invitaron por lo menos? ahre chusma jajaja",Neutro
Ya te das cuenta que es un enfermo mental cuando ves que al Fernet le pone Pepsi.,ya te das cuenta que es un enfermo mental cuando ves que al fernet le pone pepsi.,Negativo
"Deberían pulir más el algoritmo a la hora de asignación. Está perfecto que le dé el pedido al que tenga menos tiempo de viaje, pero luego debería emparejarse contra el que está en bici o moto. Aunque los que marcaron como moto, hoy capaz no la tienen. Detalles operativos.","deberían pulir más el algoritmo a la hora de asignación. está perfecto que le dé el pedido al que tenga menos tiempo de viaje, pero luego debería emparejarse contra el que está en bici o moto. aunque los que marcaron como moto, hoy capaz no la tienen. detalles operativos.",Neutro
Deberia hacer lo mismo!!!,deberia hacer lo mismo!!!,Neutro
Se nota que es mentira porque nadie en su sano juicio toma Fernet con Pepsi black.,se nota que es mentira porque nadie en su sano juicio toma fernet con pepsi black.,Negativo
Tenes que ser un enfermo para hacer eso!!! Como vas a tomar fernet con Pepsi??,tenes que ser un enfermo para hacer eso!!! como vas a tomar fernet con pepsi??,Neutro
"Que vaya a un supermercado a comprar eso, que hace comprando por pedidosya?","que vaya a un supermercado a comprar eso, que hace comprando por pedidosya?",Neutro
Qué mogólica es la gente eh.,qué mogólica es la gente eh.,Neutro
"""invita por lo menos"" JAJAJAJSJAJS q idolo el  repartidor","""invita por lo menos"" jajajajsjajs q idolo el  repartidor",Positivo
Como se puso la gorra!!,como se puso la gorra!!,Neutro
"Ese pedido lo hizo un soldadito narco, yo hubiese ido con el pedido y con la brigada antidrogas.","ese pedido lo hizo un soldadito narco, yo hubiese ido con el pedido y con la brigada antidrogas.",Neutro
"Bien hecho por pelotudo, como vas a tomar el fernet con Pessi?","bien hecho por pelotudo, como vas a tomar el fernet con pessi?",Negativo
Ya se las llevo y le pido un par de propina!,ya se las llevo y le pido un par de propina!,Neutro
La próxima que invite al repartidor con un fernet con pepsi black y se sume a la joda. Todo sea por un aperitivo!!,la próxima que invite al repartidor con un fernet con pepsi black y se sume a la joda. todo sea por un aperitivo!!,Negativo
para arrancar no pedir Pepsi black para el Fernet,para arrancar no pedir pepsi black para el fernet,Negativo
"El error está en que pedidos ya 
@pedidosya
 en éste caso; permita un pedido de esa indole, ENCIMA se lo adjudique a un repartidor en bici... un limite te pido","el error está en que pedidos ya 

 en éste caso; permita un pedido de esa indole, encima se lo adjudique a un repartidor en bici... un limite te pido",Neutro
"Hay un marrón en esta conversación, cuando están como cliente se nota muchísimo más, por q son los únicos que se pelean por algo sin sentido","hay un marrón en esta conversación, cuando están como cliente se nota muchísimo más, por q son los únicos que se pelean por algo sin sentido",Neutro
Una buena trompadas al mogolico y de paso meterle las 30 pepsis en el orto,una buena trompadas al mogolico y de paso meterle las 30 pepsis en el orto,Neutro
"Que le hicieron a mí país!!! Carne del amigo de Shrek y Fernet con ""Pepsi black"". Que cambios de mierda que votan!!!","que le hicieron a mí país!!! carne del amigo de shrek y fernet con ""pepsi black"". que cambios de mierda que votan!!!",Negativo
te debe de dar unas ganas de agarrarte un fernet,te debe de dar unas ganas de agarrarte un fernet,Neutro
Cómo vas a tomar Fernet con Pepsi Black.. hijo de remil puta,cómo vas a tomar fernet con pepsi black.. hijo de remil puta,Negativo
"quién pide eso por aplicación? vayan al super, conecten con la REALIDAD por favor","quién pide eso por aplicación? vayan al super, conecten con la realidad por favor",Positivo
"No se como se manejará Rappi, pero Pedidos Ya! cuando el pedido es muy grande o muy caro automaticamente te lo divide. Y si no, siempre podes pedir que te asignen otro repartidor","no se como se manejará rappi, pero pedidos ya! cuando el pedido es muy grande o muy caro automaticamente te lo divide. y si no, siempre podes pedir que te asignen otro repartidor",Positivo
"Sabes cuál es el problema? Que el pibe agarró el pedido, la misma app te avisa de antemano qué vas a llevar y a dónde. Mambo suyo, que se coma la correspondiente sanción","sabes cuál es el problema? que el pibe agarró el pedido, la misma app te avisa de antemano qué vas a llevar y a dónde. mambo suyo, que se coma la correspondiente sanción",Negativo
"No es la culpa del que pide, es la aplicación que da ese pedido  a un muchacho en bici y supongo que el muchacho que acepto el viaje también puede cancelarlo y que lo haga otro.","no es la culpa del que pide, es la aplicación que da ese pedido  a un muchacho en bici y supongo que el muchacho que acepto el viaje también puede cancelarlo y que lo haga otro.",Neutro
El problema es que lo haya pedido con Pepsi black,el problema es que lo haya pedido con pepsi black,Negativo
Ajajaja se lo tendria que haber quedado el repartidor y que siga esperando .,ajajaja se lo tendria que haber quedado el repartidor y que siga esperando .,Neutro
"Que gente HDP que hay en este mundo.
La app también debería decir la ubicación del local al que estás pidiendo.
Me pasó q pedí helado xq hay un local a 7 cuadras y me lo mandaron de uno a 30 cuadras, me dió vergüenza no pido más","que gente hdp que hay en este mundo.
la app también debería decir la ubicación del local al que estás pidiendo.
me pasó q pedí helado xq hay un local a 7 cuadras y me lo mandaron de uno a 30 cuadras, me dió vergüenza no pido más",Negativo
Nunca voy a entender porque la app no asigna a mas de un repartidor volumenes grandes.,nunca voy a entender porque la app no asigna a mas de un repartidor volumenes grandes.,Positivo
“Dale que los estamos esperando”  le dice el hdp.,“dale que los estamos esperando”  le dice el hdp.,Negativo
No podes ser tan pero tan MARICA para pedir Pepsi en vez de Coca Cola.,no podes ser tan pero tan marica para pedir pepsi en vez de coca cola.,Neutro
"Yo se los llevo pero sabes como me quedo ahí.. Un fernet con la black no se le puede decir que no.. Si dan propina, la gasto para la picada","yo se los llevo pero sabes como me quedo ahí.. un fernet con la black no se le puede decir que no.. si dan propina, la gasto para la picada",Negativo
"No juzgo, yo también amo el fernet con pepsi black","no juzgo, yo también amo el fernet con pepsi black",Positivo
Como le vas a pedir 60 botellas en total????,como le vas a pedir 60 botellas en total????,Neutro
No se lo lleves por pedir PEPSI BLACK. Si vas a pedir Pepsi para el fernet al menos que sea comun hijo de re mil puta,no se lo lleves por pedir pepsi black. si vas a pedir pepsi para el fernet al menos que sea comun hijo de re mil puta,Negativo
Las personas que dicen que se la lleve como carajo llevas 30 Pepsis y30 fernet en bici? Es joda? Tenes que llevar un tráiler atrás,las personas que dicen que se la lleve como carajo llevas 30 pepsis y30 fernet en bici? es joda? tenes que llevar un tráiler atrás,Neutro
de todas formas el rider tiene la opción de reasignar el pedido y no hacerlo (la app lo permite) o de pedir que venga otro repartidor y hacer el pedido a medias en dos entregar,de todas formas el rider tiene la opción de reasignar el pedido y no hacerlo (la app lo permite) o de pedir que venga otro repartidor y hacer el pedido a medias en dos entregar,Neutro
"Es obvio que el chat es falso! Quien va a ser el palermitano que prepare un fernet con PEPSI! 
Si se quieren hacer virales, por lo menos hagan las cosas creíbles!","es obvio que el chat es falso! quien va a ser el palermitano que prepare un fernet con pepsi! 
si se quieren hacer virales, por lo menos hagan las cosas creíbles!",Neutro
Fernet con Pepsi. Encima Pepsi black!,fernet con pepsi. encima pepsi black!,Negativo
Fernet con PEPSI BLACK no sos nadie para andar apurando a un peya,fernet con pepsi black no sos nadie para andar apurando a un peya,Negativo
"El repartidor llora al pedo, puede pedirle a soporte que sea compartido y lo entregue con un compañero al pedido o directamente reasignarlo","el repartidor llora al pedo, puede pedirle a soporte que sea compartido y lo entregue con un compañero al pedido o directamente reasignarlo",Neutro
Ya que la pida con Pepsi es una banda,ya que la pida con pepsi es una banda,Neutro
Mira como le escribe. Un hijo de puta.,mira como le escribe. un hijo de puta.,Neutro
El repartidor sacó de la galera la invitación para poder tomarse un fernet con la black. Un capo!!,el repartidor sacó de la galera la invitación para poder tomarse un fernet con la black. un capo!!,Positivo
Hay que matar a los ricos.,hay que matar a los ricos.,Neutro
"Si pide Pepsi, ahí te das cuenta que es un idiota","si pide pepsi, ahí te das cuenta que es un idiota",Neutro
"El repartidor puede pedir a soporte que le manden 2-3 cadetes para llevar el mismo pedido, a todos le pagan por igual","el repartidor puede pedir a soporte que le manden 2-3 cadetes para llevar el mismo pedido, a todos le pagan por igual",Neutro
Ajaajajajajajajaj me mata el “invita por lo menos”,ajaajajajajajajaj me mata el “invita por lo menos”,Neutro
"Debe ser argentino por lo vago, si era venezolano los trae haciendo malabares y tirando fuego por la boca","debe ser argentino por lo vago, si era venezolano los trae haciendo malabares y tirando fuego por la boca",Neutro
"Igual acá hay un error de la App, que debería incluir volumen y peso en el algoritmo teniendo en cuenta el vehículo del rappi, si tiene auto genial, pero vas apagar mas, si solo hay bicis o motos se cancela el pedido","igual acá hay un error de la app, que debería incluir volumen y peso en el algoritmo teniendo en cuenta el vehículo del rappi, si tiene auto genial, pero vas apagar mas, si solo hay bicis o motos se cancela el pedido",Neutro
"@pedidosya
 arreglen la app ... Tiene una bici, no una f150","arreglen la app ... tiene una bici, no una f150",Neutro
"La bocha sería que le cobre, le lleve las 30 pepsi y cuando esté ahi le diga ""si ahora queres los ferné pagá el otro viaje, no soy un flete""","la bocha sería que le cobre, le lleve las 30 pepsi y cuando esté ahi le diga ""si ahora queres los ferné pagá el otro viaje, no soy un flete""",Neutro
Lo incorrecto y hasta criminal de todo esto es que haya pedido pepsi black!!,lo incorrecto y hasta criminal de todo esto es que haya pedido pepsi black!!,Negativo
Poco se habla de que el tipo sabe tomar bien los fernets,poco se habla de que el tipo sabe tomar bien los fernets,Neutro
Pepsi black? Porteñizaron el fernet mamita querida,pepsi black? porteñizaron el fernet mamita querida,Negativo
"Pepsi común si, Black nose che","pepsi común si, black nose che",Negativo
Como vas a tomar el fernet con pepsi black terrorista,como vas a tomar el fernet con pepsi black terrorista,Negativo
"fernet con pepsi black, nos merecemos quedar afuera con Argelia","fernet con pepsi black, nos merecemos quedar afuera con argelia",Negativo
"Ahi falla la app, se debería derivar ese pedido a un auto","ahi falla la app, se debería derivar ese pedido a un auto",Neutro
Como vas a ponerle pepsi black al fernet,como vas a ponerle pepsi black al fernet,Negativo
"Esto se soluciona con el bici man vaya y vuelva 4 veces, se le da 70k de propina y se lo invita a tomar fernet jajajajaja","esto se soluciona con el bici man vaya y vuelva 4 veces, se le da 70k de propina y se lo invita a tomar fernet jajajajaja",Neutro
Yo le hubiese contestado: No te las llevo un carajo pq los putos toman Fernet con Pepsi BLACK!!,yo le hubiese contestado: no te las llevo un carajo pq los putos toman fernet con pepsi black!!,Negativo
para arrancar no tomar fernet con pepsi,para arrancar no tomar fernet con pepsi,Neutro
El problema es de la aplicación que te deja pedir tanto,el problema es de la aplicación que te deja pedir tanto,Neutro
la app es una mierda que deja que los clientes pidan 5000000 botellas,la app es una mierda que deja que los clientes pidan 5000000 botellas,Negativo
"Merece ir preso,como vas a tomar fernet con Pepsi hijo de mil putas","merece ir preso,como vas a tomar fernet con pepsi hijo de mil putas",Neutro
"Igual eso no es pedidos ya,,,es Rappi","igual eso no es pedidos ya,,,es rappi",Neutro
Ya de movida va a tomar Fernet con Pepsi...  Es un forro,ya de movida va a tomar fernet con pepsi...  es un forro,Negativo
"Como que fernet y pepsi, estamos en el mundo del revés Maria Elena Walsh?","como que fernet y pepsi, estamos en el mundo del revés maria elena walsh?",Positivo
"Con tal de tomarte un fernet con pepsi, sabes como te llevo todo.. Hasta en monopatín!!","con tal de tomarte un fernet con pepsi, sabes como te llevo todo.. hasta en monopatín!!",Neutro
Ahora el cliente tiene que solucionar esos problemas? Dejate de joder,ahora el cliente tiene que solucionar esos problemas? dejate de joder,Neutro
"Está armado, ya habían hecho el mismo con un pack de botellas de agua","está armado, ya habían hecho el mismo con un pack de botellas de agua",Neutro
"No debe ser pedidos ya eso, pq no podés hablar con el cliente hasta marcar ""retirado"", debe ser rappi","no debe ser pedidos ya eso, pq no podés hablar con el cliente hasta marcar ""retirado"", debe ser rappi",Neutro
"banco al repartidor, no es fletero. La app debería prever eso.","banco al repartidor, no es fletero. la app debería prever eso.",Neutro
"No hay que llevárselo pero por hijo de mil puta que toma fernet con Pepsi black , forro hijo de puta","no hay que llevárselo pero por hijo de mil puta que toma fernet con pepsi black , forro hijo de puta",Negativo
"A mi me gusta que la gente labure pero eso es abuso.

Lo banco al laburante","a mi me gusta que la gente labure pero eso es abuso.

lo banco al laburante",Neutro
Pepsi black?? No podes,pepsi black?? no podes,Negativo
Yo no puedo creer que exista gente así. Cómo vas a tomar fernet con Pepsi?,yo no puedo creer que exista gente así. cómo vas a tomar fernet con pepsi?,Neutro
Y qué pasó después? Lo entregó? Lo canceló? No nos dejes a medias,y qué pasó después? lo entregó? lo canceló? no nos dejes a medias,Neutro
Que sorete es la gente por dios. No queda otra que empezar a educar a los poco empáticos a los bifes,que sorete es la gente por dios. no queda otra que empezar a educar a los poco empáticos a los bifes,Neutro
La app claramente es una cagada si le deriva un pedido asi a un cadete registrado en bici. Defecto de la app que debería derivarlo unicamente a alguno con auto.,la app claramente es una cagada si le deriva un pedido asi a un cadete registrado en bici. defecto de la app que debería derivarlo unicamente a alguno con auto.,Neutro
"Uno que no quiere laburar, el otro que toma fernet con pepsi, bala para los dos","uno que no quiere laburar, el otro que toma fernet con pepsi, bala para los dos",Neutro
Poca voluntad del repartidor en ves de escribir para hacer renegar al comprador escribile  y avísale que le vas a llevar el pedido en dos veces y listo,poca voluntad del repartidor en ves de escribir para hacer renegar al comprador escribile  y avísale que le vas a llevar el pedido en dos veces y listo,Neutro
Imaginate tomar fernet con PEPSI BLACK,imaginate tomar fernet con pepsi black,Negativo
Estamos en otra época ahora viene el fernet con la pepsi,estamos en otra época ahora viene el fernet con la pepsi,Positivo
"eso es rappi, no es pedidosya, ni para dar información saben los downs","eso es rappi, no es pedidosya, ni para dar información saben los downs",Neutro
"encima piolaso el de pedidosya, la gente es imbécil.","encima piolaso el de pedidosya, la gente es imbécil.",Neutro
"No entiendo esto, osea si está la opción de q se repartan varios deliveries, yo he hecho compras muy grandes q han venido hasta 5 repartidores, acaso esta opción no está habilitada? Hablo desde mi experiencia de usuario en rosario","no entiendo esto, osea si está la opción de q se repartan varios deliveries, yo he hecho compras muy grandes q han venido hasta 5 repartidores, acaso esta opción no está habilitada? hablo desde mi experiencia de usuario en rosario",Positivo
